Title,Views,Upload_data,Thumbnail_link,Video_link
88 || DBMS || Hashing - Previous GATE Questions on Hashing -,84 views,1 month ago,https://i.ytimg.com/vi/GHmZaF1cbq8/hqdefault.jpg,https://www.youtube.com//watch?v=GHmZaF1cbq8
87 || DBMS - Hashing - Chaining - Open Addressing or Closed Hashing - B Tree GATE Question,113 views,1 month ago,https://i.ytimg.com/vi/LJc5VCLKw4I/hqdefault.jpg,https://www.youtube.com//watch?v=LJc5VCLKw4I
86 || DBMS || Multi level Indexing - B+ Trees,134 views,1 month ago,https://i.ytimg.com/vi/zwkBm0AZwVw/hqdefault.jpg,https://www.youtube.com//watch?v=zwkBm0AZwVw
85 || DBMS || Multilevel Indexing - ISAM Tree & B  Tree - Insertion - Deletion - GATE Problem,152 views,1 month ago,https://i.ytimg.com/vi/NpyBpIu3yNw/hqdefault.jpg,https://www.youtube.com//watch?v=NpyBpIu3yNw
84 || DBMS || Indexing - Solving question on Secondary Indexing,47 views,1 month ago,https://i.ytimg.com/vi/EHmyydvvXOk/hqdefault.jpg,https://www.youtube.com//watch?v=EHmyydvvXOk
83 || DBMS || Indexing - GATE Problem on Secondary Indexing,41 views,1 month ago,https://i.ytimg.com/vi/JaWA-MMAYL0/hqdefault.jpg,https://www.youtube.com//watch?v=JaWA-MMAYL0
82|| DBMS || Indexing - Problem on Primary Indexing and Without Indexing,44 views,1 month ago,https://i.ytimg.com/vi/jQLn12SNDz8/hqdefault.jpg,https://www.youtube.com//watch?v=jQLn12SNDz8
81 || DBMS || Indexing - GATE Problem on Primary Indexing,45 views,1 month ago,https://i.ytimg.com/vi/HZozCPuIM-A/hqdefault.jpg,https://www.youtube.com//watch?v=HZozCPuIM-A
80 || DBMS || Indexing - GATE Problem on Primary Indexing,68 views,1 month ago,https://i.ytimg.com/vi/sEpEP7s5qVM/hqdefault.jpg,https://www.youtube.com//watch?v=sEpEP7s5qVM
"79 || DBMS || Indexing - Primary , Cluster and Secondary Indexing - Examples - Formulas - Examples",137 views,1 month ago,https://i.ytimg.com/vi/X9LLcPgroeQ/hqdefault.jpg,https://www.youtube.com//watch?v=X9LLcPgroeQ
78 || DBMS || File Organization - Spanned & Unspanned Strategy - Ordered & Unordered Files -Examples,122 views,1 month ago,https://i.ytimg.com/vi/iB0PaTIu-00/hqdefault.jpg,https://www.youtube.com//watch?v=iB0PaTIu-00
77 || DBMS || RAID - Disk Manager - Buffer Manager - GATE Problems - Fragmentation - Techniques,199 views,1 month ago,https://i.ytimg.com/vi/XrzmZRwCZno/hqdefault.jpg,https://www.youtube.com//watch?v=XrzmZRwCZno
76 || DBMS || Magnetic Disk Structure GATE Related Solving Problems,169 views,1 month ago,https://i.ytimg.com/vi/hJDmIsP9qE8/hqdefault.jpg,https://www.youtube.com//watch?v=hJDmIsP9qE8
75 || DBMS || Indexing : Memory - Different types - Hierarchy - Magnetic Disk Structure - Problems,296 views,1 month ago,https://i.ytimg.com/vi/S2eSyVijc5A/hqdefault.jpg,https://www.youtube.com//watch?v=S2eSyVijc5A
74 || DBMS || GATE Questions on Transaction Management,181 views,1 month ago,https://i.ytimg.com/vi/sHD4d9liyb8/hqdefault.jpg,https://www.youtube.com//watch?v=sHD4d9liyb8
"73 || DBMS || Concurrency Control Protocol: Time Stamp Ordering, Thomas Write Rule",244 views,1 month ago,https://i.ytimg.com/vi/PebLGPE7QV0/hqdefault.jpg,https://www.youtube.com//watch?v=PebLGPE7QV0
72 || DBMS || Concurrency control protocols,385 views,1 month ago,https://i.ytimg.com/vi/f80v5zy2ftM/hqdefault.jpg,https://www.youtube.com//watch?v=f80v5zy2ftM
71 || DBMS || Transaction management - Non Serialized Schedules - Recoverable & Non Recoverable,291 views,1 month ago,https://i.ytimg.com/vi/iAKCKantV4E/hqdefault.jpg,https://www.youtube.com//watch?v=iAKCKantV4E
70 || DBMS ||Transaction Management - Serializability - Conflict and VIEW serializability - examples,350 views,1 month ago,None,https://www.youtube.com//watch?v=-a5aDLloOMg
69 || DBMS || Problems of concurrent transactions - Schedules - Serializability - Examples,341 views,1 month ago,None,https://www.youtube.com//watch?v=nBGwyKMxImI
68 || DBMS || Introduction to Transaction Management - Need - Concurrent and Sequential Transactions,336 views,1 month ago,None,https://www.youtube.com//watch?v=AKJa3c0-QZ4
67 || DBMS || Previous GATE Questions on Functional Dependencies and Normalization - examples,183 views,1 month ago,None,https://www.youtube.com//watch?v=yxxPuapKBOY
66 || DBMS || Normalization - 3rd Normal Form and BCNF - examples,357 views,1 month ago,None,https://www.youtube.com//watch?v=Y7jAtGksZ5M
65 || DBMS || Normalization - 2nd Normal Form - examples,251 views,1 month ago,None,https://www.youtube.com//watch?v=Ob_dKFo-7jA
64 || DBMS || Normalization - 1NF and 2nd Normal Form - examples,327 views,1 month ago,None,https://www.youtube.com//watch?v=DiYlnxXpAz4
"63 || DBMS || Functional Dependencies - Attribute , Loss less join, Functional dependency Preserving",124 views,1 month ago,None,https://www.youtube.com//watch?v=AmBDZjn8Neo
"62 || DBMS || Functional Dependencies - Attribute , Loss less join, Functional dependency Preserving",130 views,1 month ago,None,https://www.youtube.com//watch?v=DKI6muDLrqY
61 || DBMS || Functional Dependency Preserving - Examples,105 views,1 month ago,None,https://www.youtube.com//watch?v=RMt3mR7_aPk
60 || DBMS || Functional Dependency Preserving - Examples,108 views,1 month ago,None,https://www.youtube.com//watch?v=8U74L6a2QIs
59 || DBMS || Functional Dependency Preserving - Examples,104 views,1 month ago,None,https://www.youtube.com//watch?v=8UAqSQ85MuM
