NUMBER,TITLE,DURATION,LINK
1,1-Syllabus Over view and Outcome,53:56:00,https://www.youtube.com//watch?v=SkUNHVJ92ro
2,"2: HTML Structure, Tags Introduction and Document Type Definition",41:10:00,https://www.youtube.com//watch?v=ARu7UgOFghQ
3,"3 Head Tags, Formatting tags and Anchor Tag",57:51:00,https://www.youtube.com//watch?v=anb92XEmce8
4,"4- Images, Image Mapping, Marquee, Tables, Lists, and Special Characters",01:00:23,https://www.youtube.com//watch?v=t5G7KyMsvew
5,5 Color coding system,20:36,https://www.youtube.com//watch?v=P62FQilVMKk
6,"6 HTML: frameset, frame, iframe, span and DIV Tags",57:40:00,https://www.youtube.com//watch?v=SRuaZOgPs_Y
7,7: HTML Forms,01:09:44,https://www.youtube.com//watch?v=1VOyhROsDv4
8,"8: CSS Introduction, Syntax, 3 ways of writing of CSS, Selectors",57:56:00,https://www.youtube.com//watch?v=aBJ0d8bZ0zs
9,9 CSS: Selectors with combinators,35:06:00,https://www.youtube.com//watch?v=lHve88_QotY
10,"10 CSS: Colors, Font and Text effects, Backgrounds",41:38:00,https://www.youtube.com//watch?v=iP3tj-7pmFY
11,11 CSS BOX Model,43:00:00,https://www.youtube.com//watch?v=cpFTSCJ1LAg
12,12 CSS Anchor tag styles and Opacity Property,44:34:00,https://www.youtube.com//watch?v=2Ez_KCLCgxg
13,"13 CSS Overflow, Lists and Tables",46:17:00,https://www.youtube.com//watch?v=ahs2vT2vTCY
14,"14 CSS Display Property - inline, block, inline-block, none.",33:24:00,https://www.youtube.com//watch?v=6pZLyBFWeqA
15,15 CSS Position Property,47:56:00,https://www.youtube.com//watch?v=N1Dq7daqelg
16,16 - HTML 5.0 & Implementation of Web page from Scratch- View Counter in the footer.,01:48:02,https://www.youtube.com//watch?v=9WX2HlGuHWY
17,17 Navigation Bar - Vertical Navigation Bar & Horizontal Navigation Bar,39:37:00,https://www.youtube.com//watch?v=6jFTWE5k3Sc
18,"18 CSS Psuedo Classes, Psuedo Elements, Box-shadow, CSS Counters and CSS Gradients.",01:47:32,https://www.youtube.com//watch?v=SoQLWs0B07c
19,19 media query,47:53:00,https://www.youtube.com//watch?v=UObaSRtpwi4
20,20 HTML and CSS  || CSS Transforms || RGUKT SKLM,30:44:00,https://www.youtube.com//watch?v=kWI7QlzdKME
21,21 HTML and CSS  || CSS Transitions || RGUKT SKLM,26:24:00,https://www.youtube.com//watch?v=Gc0PWEXSfbg
22,22 HTML and CSS  || CSS Animations || RGUKT SKLM,50:22:00,https://www.youtube.com//watch?v=F0eaLoktknU
23,23 HTML and CSS  || CSS Animations Example - Continuous Skating & Logo 3D Animation  || RGUKT SKLM,20:08,https://www.youtube.com//watch?v=5mGhRhq3dhc
24,#shorts Skating Animation With HTML and CSS @JayaKrishnagummadidala,00:31,https://www.youtube.com//watch?v=0H5IzQOYu1I
